"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"40",0,1.65797748093718,0.63,0.197,0,"1","GZMM"
"41",0,1.29407862419334,0.414,0.13,0,"2","CCR7"
"42",0,1.28091776029,0.922,0.6,0,"2","LTB"
"43",0,1.1128467078342,0.814,0.483,0,"2","TRAC"
"44",0,1.1062947308671,0.873,0.806,0,"2","AC090498.1"
"45",0,1.09771222845435,0.379,0.151,0,"2","GIMAP7"
"46",0,1.07569853056586,0.571,0.285,0,"2","IL7R"
"47",0,1.0336511070469,0.577,0.316,0,"2","LCK"
"48",0,1.03263659880412,0.356,0.138,0,"2","LEF1"
"49",0,1.02215583438918,1,0.998,0,"2","RPL34"
"50",0,1.01887881579343,0.305,0.095,0,"2","TRAT1"
"51",0,0.989751798038576,0.527,0.315,0,"2","IFITM1"
"52",0,0.964471891336786,0.438,0.215,0,"2","CD27"
"53",0,0.952655575948803,0.543,0.349,0,"2","TRBC1"
"54",0,0.948653563176843,0.861,0.656,0,"2","LDHB"
"55",0,0.914349445261965,0.462,0.282,0,"2","TRAF3IP3"
"56",0,0.898147582838301,0.783,0.503,0,"2","CD3D"
"57",0,0.896540357157023,0.666,0.465,0,"2","TRBC2"
"58",0,0.885391921723023,0.903,0.777,0,"2","TSC22D3"
"59",0,0.877146552625234,1,0.998,0,"2","RPL7"
"60",0,0.874436299246751,0.564,0.407,0,"2","NOSIP"
"61",0,5.44384226505616,0.996,0.369,0,"3","S100A9"
"62",0,5.41991613518529,0.995,0.336,0,"3","S100A8"
"63",0,4.46825178176342,1,0.371,0,"3","LYZ"
"64",0,4.19494073757734,0.883,0.078,0,"3","S100A12"
"65",0,3.82493616336437,0.764,0.106,0,"3","CXCL8"
"66",0,3.73931504165833,0.979,0.113,0,"3","FCN1"
"67",0,3.40543329287415,0.997,0.268,0,"3","TYROBP"
"68",0,3.26986266034901,0.811,0.089,0,"3","RP11-1143G9.4"
"69",0,3.26784637713825,0.965,0.089,0,"3","CSTA"
"70",0,3.20079053305258,0.883,0.044,0,"3","VCAN"
"71",0,3.19934703201756,0.973,0.315,0,"3","CTSS"
"72",0,3.03152691012142,0.989,0.249,0,"3","CST3"
"73",0,2.96113158745506,0.825,0.06,0,"3","MNDA"
"74",0,2.92105446011279,0.577,0.061,0,"3","G0S2"
"75",0,2.60282131461512,0.744,0.032,0,"3","CD14"
"76",0,2.60032543891666,0.989,0.588,0,"3","NEAT1"
"77",0,2.59529801291397,1,0.988,0,"3","FTL"
"78",0,2.54220313284735,0.982,0.383,0,"3","LGALS1"
"79",0,2.53771344958866,0.974,0.231,0,"3","LST1"
"80",0,2.49595203677055,0.96,0.212,0,"3","FCER1G"
"81",0,3.14311021746427,1,0.655,0,"4","CD74"
"82",0,3.04841517200514,0.828,0.068,0,"4","CD79A"
"83",0,2.90582082606814,0.761,0.033,0,"4","MS4A1"
"84",0,2.69381584660432,0.994,0.408,0,"4","HLA-DRA"
"85",0,2.61666592218275,0.883,0.211,0,"4","HLA-DQB1"
"86",0,2.426334458809,0.689,0.119,0,"4","IGHM"
"87",0,2.33216884195511,0.967,0.394,0,"4","HLA-DPB1"
"88",0,2.32876954846957,0.734,0.116,0,"4","CD79B"
"89",0,2.21670452272585,0.48,0.029,0,"4","IGHD"
"90",0,2.12791382695633,0.925,0.327,0,"4","HLA-DPA1"
"91",0,2.12186566408462,0.93,0.32,0,"4","HLA-DRB1"
"92",0,2.07176103849998,0.704,0.118,0,"4","HLA-DQA1"
"93",0,1.9809014697585,0.516,0.015,0,"4","LINC00926"
"94",0,1.82751214437524,0.5,0.021,0,"4","BANK1"
"95",0,1.79122556312559,0.566,0.129,0,"4","MEF2C"
"96",0,1.74446775685532,0.324,0.036,0,"4","TCL1A"
"97",0,1.73147541733489,0.935,0.61,0,"4","CD37"
"98",0,1.66452917807008,0.674,0.194,0,"4","HLA-DMA"
